s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,remarks,created_at,updated_at,acceptance_date,time_allowed_days,pdc_agreement,award_date,pdc_revised,completion_date_actual,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,current_status,id,delay_days,expected_progress,health_status,health_score,progress_category,risk_level,priority,status,efficiency_score,quality_score,forecast_completion,budget_variance,monthly_burn_rate,message,row
ENG-1761419859723-55,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Malluchak,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,Work completed. 4th & final bill for  Rs. 7;77;880/-  passed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,29.08.2023,360 days,10.09.24,2023-09-05,,10.09.2024,M/s Virendra Builders,100,31.92,7.789999999999999,39.71,79.34,,,,,,,,,,,,,,,,,
ENG-1761419859723-56,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Ballhar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,02.08.2023,Work completed. 4th & final bill for Rs. 7;14;326/-  pending with HQ.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,29.08.2023,360 days,09.09.24,2023-09-06,31.01.2025,21.01.25,M/s Virendra Builders,100,35.4,0,35.4,70.73,,,,,,,,,,,,,,,,,
ENG-1761419859723-57,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,I/NAGAR,BOP Suresh,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,13.07.2023,11.08.2023,"Work completed. 2nd & final bill for Rs. 15;94;764/-  pending with HQ.
",2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,29.08.2023,360 days,05.09.24,2023-09-05,,30.12.24,M/s Surinder Mohan Gupta,100,26.05,0,26.05,52.05,,,,,,,,,,,,,,,,,
ENG-1761419859723-58,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,SBN,BOP Beliazmat,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,08.09.2023,29.09.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,27.10.2023,240 days,2024-06-29,2023-10-31,31.03.25,29.09.2025,Sh Swarn Kumar,100,37.86,0,37.86,75.64,,,,,,,,,,,,,,,,,
ENG-1761419859723-59,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,SBN,BOP Nikowal,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,08.09.2023,29.09.2023,Work completed and 3rd RA bill amounting to Rs.11;33;875/- passed by PAD.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,27.10.2023,240 days,30.06.24,2023-10-31,31.03.25,29.09.2025,Sh Swarn Kumar,100,31.16,11.2,42.36,84.64,,,,,,,,,,,,,,,,,
ENG-1761419859723-60,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Jammu,SBN,BOP Malabela,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.05,08.09.2023,29.09.2023,Work completed and 3rd RA bill amounting to Rs.11;58;756/- pending with HQ.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,27.10.2023,240 days,30.06.24,2023-10-31,31.03.25,29.09.2025,Sh Swarn Kumar,100,29.08,11.590000000000003,40.67,81.26,,,,,,,,,,,,,,,,,
ENG-1761419859723-61,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Abad,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,20.07.2023,05.09.2023,Work Completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,29.09.2023,240,29.05.2024,2023-10-18,31.03.25,31.07.25,M/S The Dehriwal Kiran,100,23.54,13.65672,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-62,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Kassowal Fwd,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,04.05.2023,05.09.2023,Work in progress.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,05.09.2023,240,13.05.2024,2023-09-20,31.03.25,,M/S Ajit Trading Company,60,16.53,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-63,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Thakurpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,20.07.2023,05.09.2023,Work completed  in all respect,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,05.09.2023,240,13.05.2024,2023-09-17,31.03.25,28.11.25,M/S Goraya & Co.,100,39.444950000000006,0.22,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-64,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Jaitpur,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,20.07.2023,05.09.2023,Work in progress.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,05.09.2023,240,13.05.2024,2023-09-17,31.03.25,,M/S Goraya & Co.,85,22.1669,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-65,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Bamial New tent Post,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,04.05.2023,14.11.2023,Work Completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,05.09.2023,240,11.05.2024,2023-09-17,31.03.25,28.03.25,M/S Goraya & Co.,100,27.1,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-66,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Chountra,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,09.11.2023,14.11.2023,Work in progress.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.01.2024,270,30.09.2024,2024-01-29,31.03.25,,M/S Baldev Raj,50,8.52338,3.8829,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-67,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,GSP,BOP Lassian,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,09.11.2023,14.11.2023,Work Complted,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.01.2024,270,30.09.2024,2024-01-09,31.03.25,,M/S Baldev Raj,45,10.8199,4.42958,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-68,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ASR,BOP Daoke,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,04.05.2023,26.07.2023,work in progress.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,21.09.2023,180,29.03.2024,2023-10-09,31.12.24,12.12.2024,M/S Competent Engineers,100,34.48401,12.76,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-69,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ASR,BOP Karma,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,04.05.2023,26.07.2023,work in progress.,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,08.09.2023,180,16.03.2024,2023-10-10,31.12.24,,M/S Singh Traders,46,16.07,6.92,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-70,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ASR,BOP Kalamdogar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,04.05.2023,26.07.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,08.09.2023,180,16.03.2024,2023-09-24,31.12.24,12.12.2024,M/S Gill Trading Co.,100,45.82,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-71,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ASR,BOP Khalra,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,04.05.2023,26.07.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,08.09.2023,180,16.03.2024,2023-09-24,31.12.24,02.09.2025,M/S Competent Engineers,100,31.70556,15.07,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-72,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Kalia,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,03.05.2023,18.07.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,11.09.2023,180,19.03.2024,2023-09-28,30.10.24,30.10.24,M/S Jayant Construction,100,42.71234,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-73,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Harbhajan,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,03.05.2023,18.07.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,08.09.2023,180,16.03.2024,2023-10-09,05.10.24,05.10.24,M/S Hardev Singh,100,42.62256,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-74,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Kulwant,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,03.05.2023,29.08.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,12.09.2023,180,20.03.2024,2023-09-28,30.10.24,30.10.24,M/S Jayant Construction,100,40.0608,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-75,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Bastiranlal,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,03.05.2023,29.08.2023,work in progress,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,09.09.2023,180,17.03.2024,2023-10-09,15.11.24,,M/S Ramandeep Singh,60,22.19127,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-76,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Ullok,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,03.05.2023,18.07.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,09.09.2023,180,17.03.2024,2023-09-28,30.10.24,30.10.24,M/S Manjeet Singh,100,23.747290000000003,11.7,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-77,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP L S Wala (FWD),C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,03.05.2023,18.07.2023,work in progress,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,09.09.2023,180,17.03.2024,2023-10-09,30.10.24,30.10.24,M/S Ramandeep Singh,100,29.539279999999998,14.08,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-78,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,FZR,BOP Rajamohatam,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,03.05.2023,29.08.2023,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,09.09.2023,180,17.03.2024,2023-09-28,15.10.24,15.10.24,M/S Arvind Kumar & Co.,100,22.459,21.68,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-79,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Nauberam,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,6.02.2025,20.02.2025,"Work has been recsined 
Balance work awarded on 15.04.25 and in progress",2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.04.2025,180,10.10.2025,15.04.2025,31.03.26,,M/S Arvind Kumar & Co.,45,19.16,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-80,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP N S Wala,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,6.02.2025,20.02.2025,"Origianl work has been recsined 
Balance work awarded on 15.04.25 and in progress",2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.04.2025,180,2025-10-09,15.04.2025,31.03.26,,M/S Arvind Kumar & Co.,30,13.83,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-81,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Samaske,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,6.02.2025,20.02.2025,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.04.2025,180,2025-10-09,09.04.2025,31.03.26,,M/S Lovish Arora,60,20.93,14.84,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-82,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Tahil Wala,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,6.02.2025,20.02.2025,"Origianl work has been recsined 
Balance work awarded on 10.08.25 and in progress.",2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,24.07.2025,180,03.02.2026,30.07.2025,31.03.26,,Ms Ramesh Kumar Nikhang,30,11.549999999999999,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-83,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Lakha Asli,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,6.02.2025,20.02.2025,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.04.2025,180,2025-10-09,09.04.2025,31.03.26,,Ms Ramesh Kumar Nikhang,55,14.63,14.69,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-84,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP GG-I,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,06.02.2025,16.07.2025,Work has been recined Balance work ts awaited,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,18.08.2025,180,27.02.2026,27.08.2025,31.03.26,,M/s Surya Builders; SGNR,5,1.6,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-85,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Mauzam Base,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,6.02.2025,20.02.2025,"Origianl work has been recsined 
Balance work awarded on 09.04.25 and in progress",2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,01.04.2025,180,2024-10-09,09.04.2025,31.03.26,,M/S Lovish Arora,65,26.84,9.87,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-86,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Bhainidlawar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,09.11.2023,14.11.2023,Work is in progresss,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,18.12.2023,270,22.09.2024,2024-04-03,31.03.26,,M/S Satpal Pujani,30,0.515,10.41,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-87,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP GG Base,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,09.11.2023,14.11.2023,Work is in progresss,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,18.12.2023,270,22.09.2024,2024-01-03,31.03.26,,M/S Satpal Pujani,35,0.515,11.6,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-88,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Punjab,ABR,BOP Roop Nagar,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,50.63,09.11.2023,14.11.2023,Work is in progresss,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,18.12.2023,270,22.09.2024,2024-01-03,31.03.26,,M/S Satpal Pujani,38,0.515,10.65,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-89,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Khatta,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-17,12,2024-09-07,2023-08-31,25.09.25,25.03.2025,M/s Shree Builders SGNR,100,20.22,18.28,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-90,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP K S Wala,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,12,2024-09-05,2023-08-31,25.09.25,05.05.2025,M/s Shree Builders SGNR,100,35.92,3.86,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-91,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Chitrakoot,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed and final bill under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-17,12,2024-09-07,2023-08-29,25.09.25,20.02.2025,M/s Vyas Constr. SGNR,100,22.39,16.48,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-92,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Kailash,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,12,2024-09-05,2023-08-29,25.09.25,15.03.2025,M/s Gupta Constr. SGNR,100,35.62,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-93,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP 24-O,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,12,2024-09-05,2023-09-07,25.09.25,10.02.2025,M/s Shree Builders SGNR,100,39.6,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-94,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Binjour,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed and final bill under process,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,13,2024-09-05,2023-08-29,25.09.25,10.03.2025,M/s Vyas Constr. SGNR,100,31.380000000000003,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-95,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,OP Madanlal,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,12,2024-09-05,2023-09-07,25.09.25,26.03.2025,M/s Shree Builders SGNR,100,37.9,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-96,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Kholi,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-23,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,12,2024-09-05,2023-08-27,25.09.25,15.02.2025,M/s Surya Builders; SGNR,100,24.96,22.89,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-97,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Naggi,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work is in progress,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-17,12,2024-09-07,2023-09-05,25.09.25,,M/s Sahil Constr. SGNR,85,22.75,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-98,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP 5-S,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,12,2024-09-05,2023-08-27,25.09.25,15.05.2025,M/s Surya Builders; SGNR,100,39.01,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-99,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Khakian,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,12,2024-09-05,2023-08-31,25.09.25,25.02.2025,M/s Shree Builders SGNR,100,23.11,15.9,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-100,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP HMK,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.195Z,2025-10-25T19:17:42.195Z,2023-08-16,12,2024-09-05,2023-09-07,25.09.25,15.03.2025,M/s Shree Builders SGNR,100,31.26,5.59,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-101,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Q-Head,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-26,2023-04-30,Work completed,2025-10-25T19:17:42.196Z,2025-10-25T19:17:42.196Z,2023-08-16,12,2024-09-05,2023-09-07,25.09.25,15.03.2025,M/s Shree Builders SGNR,100,31.82,15.32,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-102,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Khyaliwala,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-04-30,Work completed,2025-10-25T19:17:42.196Z,2025-10-25T19:17:42.196Z,2023-08-17,12,2024-09-07,2023-08-31,25.09.25,10.05.2025,M/s Shree Builders SGNR,100,32.16,7.62,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-103,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP Sheikhsarpal,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-04-30,Work completed,2025-10-25T19:17:42.196Z,2025-10-25T19:17:42.196Z,2023-08-16,12,2024-09-05,2023-08-27,25.09.25,10.04.2025,M/s Surya Builders; SGNR,100,24.99,21.93,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-104,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,SGNR,BOP 2 BNM,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-27,2023-04-30,Work completed,2025-10-25T19:17:42.196Z,2025-10-25T19:17:42.196Z,2023-08-17,12,2024-09-07,2023-08-29,25.09.25,05.03.2025,M/s Gupta Constr. SGNR,100,20.02,19.96,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-105,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,BKNR,BOP Goverdhan,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-24,2023-04-28,Work completed,2025-10-25T19:17:42.196Z,2025-10-25T19:17:42.196Z,2023-07-26,360,2024-08-15,2023-08-08,25.09.25,15.04.25,M/S HIMGIRI CONSTRUCTION CO. SGNR,100,25.28,12.88,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-106,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,BKNR,BOP K K Tibba,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-24,2023-04-28,Work is in progress,2025-10-25T19:17:42.196Z,2025-10-25T19:17:42.196Z,2023-07-26,360,2024-08-15,2023-08-10,25.09.25,,M/S Prem Jeet Luthra and Company,75,21.33,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-107,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,BKNR,BOP Sakhi,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-24,2023-04-28,Work completed,2025-10-25T19:17:42.196Z,2025-10-25T19:17:42.196Z,2023-07-26,360,2024-08-15,2023-08-08,25.09.25,15.04.25,M/S HIMGIRI CONSTRUCTION CO. SGNR,100,23.04,14.06,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-108,MAHILA BARRACK,BIMW(IA),Umbrella 2021-26,Mahila Barrack,Rajasthan,BKNR,BOP Jagdev,C/O of 8 bedded Mahila Barrack,Dept,239- H dated 27/03/2023,49.57,2023-04-24,2023-04-28,Work completed,2025-10-25T19:17:42.196Z,2025-10-25T19:17:42.196Z,2023-07-26,360,2024-08-15,2023-08-03,25.09.25,12.02.25,M/S MAMRAJ BHADU CONSTRUCTION . CO. BIKANER (RAJ),100,23.72,19,0,0,,,,,,,,,,,,,,,,,
